sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,2000,h1,4,0.0075,True
sigma-2,mglcs_10_100_2_0.txt,2000,h2,4,0.0096,True
sigma-2,mglcs_10_100_2_0.txt,2000,h3,4,0.0090,True
sigma-2,mglcs_10_100_2_0.txt,2000,h4,4,0.0077,True
sigma-2,mglcs_10_100_2_0.txt,2000,h5,6,0.0101,True
sigma-2,mglcs_10_100_2_0.txt,2000,h6,4,0.0088,True
sigma-2,mglcs_10_100_2_0.txt,2000,h7,4,0.0081,True
sigma-2,mglcs_10_100_2_0.txt,2000,h8,6,0.0455,True
sigma-2,mglcs_10_100_2_1.txt,2000,h1,3,0.0071,True
sigma-2,mglcs_10_100_2_1.txt,2000,h2,3,0.0097,True
sigma-2,mglcs_10_100_2_1.txt,2000,h3,3,0.0073,True
sigma-2,mglcs_10_100_2_1.txt,2000,h4,3,0.0073,True
sigma-2,mglcs_10_100_2_1.txt,2000,h5,3,0.0119,True
sigma-2,mglcs_10_100_2_1.txt,2000,h6,3,0.0081,True
sigma-2,mglcs_10_100_2_1.txt,2000,h7,3,0.0079,True
sigma-2,mglcs_10_100_2_1.txt,2000,h8,3,0.0502,True
sigma-2,mglcs_10_100_2_2.txt,2000,h1,6,0.0081,True
sigma-2,mglcs_10_100_2_2.txt,2000,h2,6,0.0084,True
sigma-2,mglcs_10_100_2_2.txt,2000,h3,6,0.0080,True
sigma-2,mglcs_10_100_2_2.txt,2000,h4,6,0.0087,True
sigma-2,mglcs_10_100_2_2.txt,2000,h5,6,0.0118,True
sigma-2,mglcs_10_100_2_2.txt,2000,h6,6,0.0119,True
sigma-2,mglcs_10_100_2_2.txt,2000,h7,6,0.0142,True
sigma-2,mglcs_10_100_2_2.txt,2000,h8,6,0.0457,True
sigma-2,mglcs_10_100_2_3.txt,2000,h1,4,0.0068,True
sigma-2,mglcs_10_100_2_3.txt,2000,h2,4,0.0072,True
sigma-2,mglcs_10_100_2_3.txt,2000,h3,4,0.0098,True
sigma-2,mglcs_10_100_2_3.txt,2000,h4,4,0.0074,True
sigma-2,mglcs_10_100_2_3.txt,2000,h5,4,0.0110,True
sigma-2,mglcs_10_100_2_3.txt,2000,h6,4,0.0077,True
sigma-2,mglcs_10_100_2_3.txt,2000,h7,4,0.0087,True
sigma-2,mglcs_10_100_2_3.txt,2000,h8,4,0.0418,True
sigma-2,mglcs_10_100_2_4.txt,2000,h1,5,0.0063,True
sigma-2,mglcs_10_100_2_4.txt,2000,h2,5,0.0064,True
sigma-2,mglcs_10_100_2_4.txt,2000,h3,5,0.0076,True
sigma-2,mglcs_10_100_2_4.txt,2000,h4,5,0.0069,True
sigma-2,mglcs_10_100_2_4.txt,2000,h5,5,0.0103,True
sigma-2,mglcs_10_100_2_4.txt,2000,h6,5,0.0064,True
sigma-2,mglcs_10_100_2_4.txt,2000,h7,5,0.0080,True
sigma-2,mglcs_10_100_2_4.txt,2000,h8,5,0.0356,True
sigma-2,mglcs_10_100_2_5.txt,2000,h1,5,0.0078,True
sigma-2,mglcs_10_100_2_5.txt,2000,h2,5,0.0081,True
sigma-2,mglcs_10_100_2_5.txt,2000,h3,5,0.0083,True
sigma-2,mglcs_10_100_2_5.txt,2000,h4,5,0.0094,True
sigma-2,mglcs_10_100_2_5.txt,2000,h5,5,0.0116,True
sigma-2,mglcs_10_100_2_5.txt,2000,h6,5,0.0078,True
sigma-2,mglcs_10_100_2_5.txt,2000,h7,5,0.0094,True
sigma-2,mglcs_10_100_2_5.txt,2000,h8,5,0.0459,True
sigma-2,mglcs_10_100_2_6.txt,2000,h1,3,0.0080,True
sigma-2,mglcs_10_100_2_6.txt,2000,h2,3,0.0084,True
sigma-2,mglcs_10_100_2_6.txt,2000,h3,3,0.0102,True
sigma-2,mglcs_10_100_2_6.txt,2000,h4,3,0.0089,True
sigma-2,mglcs_10_100_2_6.txt,2000,h5,3,0.0147,True
sigma-2,mglcs_10_100_2_6.txt,2000,h6,3,0.0093,True
sigma-2,mglcs_10_100_2_6.txt,2000,h7,3,0.0080,True
sigma-2,mglcs_10_100_2_6.txt,2000,h8,3,0.0475,True
sigma-2,mglcs_10_100_2_7.txt,2000,h1,4,0.0101,True
sigma-2,mglcs_10_100_2_7.txt,2000,h2,4,0.0108,True
